"ClientAccountID","AccountAlias","Model","CurrencyPrimary","FromDate","ToDate","StartingValue","Mtm","MtmAtPaxos","Realized","ChangeInUnrealized","CostAdjustments","TransferredPnlAdjustments","DepositsWithdrawals","CarbonCredits","Donations","InternalCashTransfers","PaxosTransfers","ExcessFundSweep","AssetTransfers","DebitCardActivity","BillPay","GrantActivity","Dividends","WithholdingTax","871mWithholding","WithholdingTaxCollected","ChangeInDividendAccruals","ChangeInLiteSurchargeAccruals","ChangeInCGTWithholdingAccruals","Interest","ChangeInInterestAccruals","ChangeInIncentiveCouponAccruals","BrokerFees","changeInBrokerFeeAccruals","AdvisorFees","ClientFees","OtherFees","OtherIncome","FeesReceivables","Commissions","CommissionsAtPaxos","ReferralFee","CommissionCreditsRedemption","CommissionReceivables","ForexCommissions","TransactionTax","TaxReceivables","SalesTax","BillableSalesTax","SoftDollars","NetFxTrading","FxTranslation","LinkingAdjustments","Other","EndingValue","TWR","CorporateActionProceeds"
"U2842030","","","USD","20260122","20260128","1009622.361317835","17101.64","0","0","0","0","0","-2500","0","0","0","0","0","0","0","0","0","150","0","0","0","-150","0","0","0","145.37","0","0","0","0","0","-1","0","0","-26.62593","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1024341.745387835","1.705499611","0"
"ClientAccountID","AccountAlias","Model","CurrencyPrimary","FromDate","ToDate","StartingValue","Mtm","MtmAtPaxos","Realized","ChangeInUnrealized","CostAdjustments","TransferredPnlAdjustments","DepositsWithdrawals","CarbonCredits","Donations","InternalCashTransfers","PaxosTransfers","ExcessFundSweep","AssetTransfers","DebitCardActivity","BillPay","GrantActivity","Dividends","WithholdingTax","871mWithholding","WithholdingTaxCollected","ChangeInDividendAccruals","ChangeInLiteSurchargeAccruals","ChangeInCGTWithholdingAccruals","Interest","ChangeInInterestAccruals","ChangeInIncentiveCouponAccruals","BrokerFees","changeInBrokerFeeAccruals","AdvisorFees","ClientFees","OtherFees","OtherIncome","FeesReceivables","Commissions","CommissionsAtPaxos","ReferralFee","CommissionCreditsRedemption","CommissionReceivables","ForexCommissions","TransactionTax","TaxReceivables","SalesTax","BillableSalesTax","SoftDollars","NetFxTrading","FxTranslation","LinkingAdjustments","Other","EndingValue","TWR","CorporateActionProceeds"
"U280132","","","USD","20260122","20260128","376248.583062428","4821.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","-100","0","0","0","76.9","0","0","0","0","0","0","0","0","-19.83823","0","0","0","0","0","0","0","0","0","0","0","0","0","0","381126.914832428","1.296571466","0"
"ClientAccountID","AccountAlias","Model","CurrencyPrimary","FromDate","ToDate","StartingValue","Mtm","MtmAtPaxos","Realized","ChangeInUnrealized","CostAdjustments","TransferredPnlAdjustments","DepositsWithdrawals","CarbonCredits","Donations","InternalCashTransfers","PaxosTransfers","ExcessFundSweep","AssetTransfers","DebitCardActivity","BillPay","GrantActivity","Dividends","WithholdingTax","871mWithholding","WithholdingTaxCollected","ChangeInDividendAccruals","ChangeInLiteSurchargeAccruals","ChangeInCGTWithholdingAccruals","Interest","ChangeInInterestAccruals","ChangeInIncentiveCouponAccruals","BrokerFees","changeInBrokerFeeAccruals","AdvisorFees","ClientFees","OtherFees","OtherIncome","FeesReceivables","Commissions","CommissionsAtPaxos","ReferralFee","CommissionCreditsRedemption","CommissionReceivables","ForexCommissions","TransactionTax","TaxReceivables","SalesTax","BillableSalesTax","SoftDollars","NetFxTrading","FxTranslation","LinkingAdjustments","Other","EndingValue","TWR","CorporateActionProceeds"
"U110638","","","USD","20260122","20260128","354867.783060387","13373.32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-21.57","0","0","0","0","0","0","0","0","-11.14503","0","0","0","0","0","0","0","0","0","0","0","0","0","0","368208.388030387","3.759317021","0"
