"ClientAccountID","AccountAlias","Model","CurrencyPrimary","FromDate","ToDate","StartingValue","Mtm","MtmAtPaxos","Realized","ChangeInUnrealized","CostAdjustments","TransferredPnlAdjustments","DepositsWithdrawals","CarbonCredits","Donations","InternalCashTransfers","PaxosTransfers","ExcessFundSweep","AssetTransfers","DebitCardActivity","BillPay","GrantActivity","Dividends","WithholdingTax","871mWithholding","WithholdingTaxCollected","ChangeInDividendAccruals","ChangeInLiteSurchargeAccruals","ChangeInCGTWithholdingAccruals","Interest","ChangeInInterestAccruals","ChangeInIncentiveCouponAccruals","BrokerFees","changeInBrokerFeeAccruals","AdvisorFees","ClientFees","OtherFees","OtherIncome","FeesReceivables","Commissions","CommissionsAtPaxos","ReferralFee","CommissionCreditsRedemption","CommissionReceivables","ForexCommissions","TransactionTax","TaxReceivables","SalesTax","BillableSalesTax","SoftDollars","NetFxTrading","FxTranslation","LinkingAdjustments","Other","EndingValue","TWR","CorporateActionProceeds"
"U2842030","","","USD","20250101","20251231","654386.890462135","154015.411763","0","0","0","0","0","197258.32","0","0","0","0","0","0","0","0","0","6173.5","0","0","0","0.01","0","0","5610.64","285.03","0","0","0","0","0","-6","0","0","-561.8901683","0","0","0","0","0","0","0","0","0","0","0","-0.01","0","0","1017161.902077835","24.868614267","0"
"ClientAccountID","AccountAlias","Model","CurrencyPrimary","FromDate","ToDate","StartingValue","Mtm","MtmAtPaxos","Realized","ChangeInUnrealized","CostAdjustments","TransferredPnlAdjustments","DepositsWithdrawals","CarbonCredits","Donations","InternalCashTransfers","PaxosTransfers","ExcessFundSweep","AssetTransfers","DebitCardActivity","BillPay","GrantActivity","Dividends","WithholdingTax","871mWithholding","WithholdingTaxCollected","ChangeInDividendAccruals","ChangeInLiteSurchargeAccruals","ChangeInCGTWithholdingAccruals","Interest","ChangeInInterestAccruals","ChangeInIncentiveCouponAccruals","BrokerFees","changeInBrokerFeeAccruals","AdvisorFees","ClientFees","OtherFees","OtherIncome","FeesReceivables","Commissions","CommissionsAtPaxos","ReferralFee","CommissionCreditsRedemption","CommissionReceivables","ForexCommissions","TransactionTax","TaxReceivables","SalesTax","BillableSalesTax","SoftDollars","NetFxTrading","FxTranslation","LinkingAdjustments","Other","EndingValue","TWR","CorporateActionProceeds"
"U280132","","","USD","20250101","20251231","295264.901887628","72047.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1612.35","0","0","0","-0","0","0","3498.09","-146.97","0","0","0","0","0","0","0","0","-246.0552152","0","0","0","0","0","0","0","0","0","0","0","-0","0","0","372029.746672428","25.998635224","0"
"ClientAccountID","AccountAlias","Model","CurrencyPrimary","FromDate","ToDate","StartingValue","Mtm","MtmAtPaxos","Realized","ChangeInUnrealized","CostAdjustments","TransferredPnlAdjustments","DepositsWithdrawals","CarbonCredits","Donations","InternalCashTransfers","PaxosTransfers","ExcessFundSweep","AssetTransfers","DebitCardActivity","BillPay","GrantActivity","Dividends","WithholdingTax","871mWithholding","WithholdingTaxCollected","ChangeInDividendAccruals","ChangeInLiteSurchargeAccruals","ChangeInCGTWithholdingAccruals","Interest","ChangeInInterestAccruals","ChangeInIncentiveCouponAccruals","BrokerFees","changeInBrokerFeeAccruals","AdvisorFees","ClientFees","OtherFees","OtherIncome","FeesReceivables","Commissions","CommissionsAtPaxos","ReferralFee","CommissionCreditsRedemption","CommissionReceivables","ForexCommissions","TransactionTax","TaxReceivables","SalesTax","BillableSalesTax","SoftDollars","NetFxTrading","FxTranslation","LinkingAdjustments","Other","EndingValue","TWR","CorporateActionProceeds"
"U110638","","","USD","20250101","20251231","332098.049575587","73271.69","0","0","0","0","0","-53800","0","0","0","0","0","0","0","0","0","322.02","0","0","0","23.5","0","0","-702.38","63.07","0","0","0","0","0","-18.17","0","0","-315.8870952","0","0","0","0","0","0","0","0","0","0","0","-0","0","0","350941.892480387","22.08177248","0"
