"ClientAccountID","Symbol","Description","UnderlyingSecurityID","Strike","ReportDate","Expiry","Buy/Sell","DateTime","Put/Call","TradeDate","SettleDateTarget","TransactionType","Quantity","TradePrice","TradeMoney","NetCash","ClosePrice","Open/CloseIndicator","Notes/Codes","CostBasis","FifoPnlRealized","OrderTime","OpenDateTime","LevelOfDetail","TradeID","MtmPnl","TransactionID","IBExecID","RelatedTransactionID","OrderReference"
"U2842030","RIDE","LORDSTOWN MOTORS CORP-CL A","","","20210521","","BUY","20210521;120154","","20210521","20210525","ExchTrade","34","9.72","330.48","-330.48","9.58","O","P","330.48","0","20210521;120154","","EXECUTION","3789664317","-4.76","16477194212","00010193.60a7c380.01.01","",""
"U2842030","RIDE","LORDSTOWN MOTORS CORP-CL A","","","20210525","","BUY","20210525;141651","","20210525","20210527","ExchTrade","100","8.95","895","-896","8.95","O","","896","0","20210525;141651","","EXECUTION","3796691077","0","16506531550","00010193.60ad45b3.01.01","",""
"U2842030","RIDE","LORDSTOWN MOTORS CORP-CL A","","","20211108","","BUY","20211108;113438","","20211108","20211110","ExchTrade","100","5.97","597","-598","5.89","O","","598","0","20211108;113438","","EXECUTION","4218968011","-8","18329940934","00010193.61892d49.01.01","",""
"U2842030","RIDE","LORDSTOWN MOTORS CORP-CL A","","","20211108","","BUY","20211108;113758","","20211108","20211110","ExchTrade","100","5.938","593.8","-594.8","5.89","O","","594.8","0","20211108;113758","","EXECUTION","4218999082","-4.8","18330039335","0000d5d6.6189752e.01.01","",""
"U2842030","RXT","RACKSPACE TECHNOLOGY INC","","","20210312","","SELL","20210312;105734","","20210312","20210316","ExchTrade","-100","20.64","-2064","2062.9775736","20.55","C","","-1921","141.977574","20210312;105734","","EXECUTION","3607377850","9","15734912011","00010193.604be826.01.01","",""
"U2842030","WKHS","WORKHORSE GROUP INC","","","20210115","","SELL","20210115;162000","","20210115","20210120","BookTrade","-100","12.5","-1250","1249.960475","23.34","C","A","-903.8","575.809592","","","EXECUTION","3389163656","-1084","14952222967","","",""
"U2842030","WKHS","WORKHORSE GROUP INC","","","20211104","","BUY","20211104;111454","","20211104","20211108","ExchTrade","100","7.228","722.8","-723.8","7.22","O","","723.8","0","20211104;111454","","EXECUTION","4209285126","-0.8","18291203404","0000d5d6.61841c4e.01.01","",""
"U2842030","XOM","EXXON MOBIL CORP","","","20210105","","BUY","20210105;144534","","20210105","20210107","ExchTrade","100","44.32","4432","-4433","43.5","O","","4433","0","20210105;131450","","EXECUTION","3349181695","-82","14798970680","00012e19.5ff48246.01.01","",""
"U2842030","XOM","EXXON MOBIL CORP","","","20210209","","SELL","20210208;162000","","20210208","20210210","BookTrade","-100","40","-4000","3999.8997","50.63","C","A","-8065","-3775.192531","","","EXECUTION","3477299149","-1063","15267843235","","",""
"U2842030","XOM","EXXON MOBIL CORP","","","20210312","","BUY","20210312;152149","","20210312","20210316","ExchTrade","100","61.938","6193.8","-6194.8","61.97","O","","6194.8","0","20210312;152149","","EXECUTION","3609096162","3.2","15740358490","0000d5d6.604bf276.01.01","",""
"U2842030","XOM","EXXON MOBIL CORP","","","20210512","","SELL","20210511;162000","","20210511","20210513","BookTrade","-100","47.5","-4750","4749.963875","60.04","C","A","-8065","-3006.118776","","","EXECUTION","3764387621","-1254","16372509893","","",""
